open,high,low,close,volume,datetime
192.955,192.986,192.935,192.935,35974,2023-12-27 20:31:00
192.93,192.962,192.911,192.925,29487,2023-12-27 20:32:00
192.9217,193.0,192.9217,192.995,38889,2023-12-27 20:33:00
193.0,193.02,192.9914,193.005,48510,2023-12-27 20:34:00
193.01,193.025,192.995,193.0106,44890,2023-12-27 20:35:00
193.01,193.1,193.01,193.095,81542,2023-12-27 20:36:00
193.095,193.115,193.07,193.07,92792,2023-12-27 20:37:00
193.075,193.0967,193.05,193.085,76177,2023-12-27 20:38:00
193.08,193.09,193.05,193.0869,38172,2023-12-27 20:39:00
193.085,193.11,193.04,193.095,111672,2023-12-27 20:40:00
193.1,193.12,192.98,193.0044,86432,2023-12-27 20:41:00
192.98,193.02,192.9232,192.945,39643,2023-12-27 20:42:00
192.94,192.9678,192.89,192.94,36664,2023-12-27 20:43:00
192.94,192.98,192.905,192.9075,30247,2023-12-27 20:44:00
192.905,192.94,192.85,192.885,60572,2023-12-27 20:45:00
192.885,192.895,192.82,192.8388,41191,2023-12-27 20:46:00
192.83,192.85,192.77,192.805,80729,2023-12-27 20:47:00
192.805,192.9,192.7829,192.84,62020,2023-12-27 20:48:00
192.85,192.8669,192.82,192.833,69092,2023-12-27 20:49:00
192.84,192.895,192.73,192.78,145910,2023-12-27 20:50:00
192.78,192.98,192.77,192.955,147874,2023-12-27 20:51:00
192.96,192.99,192.87,192.93,102607,2023-12-27 20:52:00
192.93,193.0,192.92,192.94,69994,2023-12-27 20:53:00
192.94,192.94,192.8579,192.86,120785,2023-12-27 20:54:00
192.865,192.98,192.83,192.96,153850,2023-12-27 20:55:00
192.955,193.01,192.915,193.0,151027,2023-12-27 20:56:00
193.01,193.03,192.95,192.97,164086,2023-12-27 20:57:00
192.97,193.1,192.97,192.97,217027,2023-12-27 20:58:00
192.975,193.22,192.975,193.19,1051439,2023-12-27 20:59:00
193.15,193.17,193.12,193.13,6107516,2023-12-27 21:00:00
193.14,193.22,193.14,193.21,4413,2023-12-27 21:01:00
193.2102,193.22,193.21,193.22,5095,2023-12-27 21:02:00
193.21,193.21,193.19,193.19,10857,2023-12-27 21:03:00
193.19,193.23,193.15,193.15,16186,2023-12-27 21:04:00
193.23,193.23,193.15,193.15,10236,2023-12-27 21:05:00
193.1989,193.2,193.16,193.16,4435,2023-12-27 21:06:00
193.17,193.17,193.12,193.15,928,2023-12-27 21:07:00
193.15,193.15,193.13,193.15,954,2023-12-27 21:08:00
193.13,193.13,193.12,193.12,600,2023-12-27 21:10:00
193.1,193.11,193.1,193.11,505,2023-12-27 21:11:00
193.12,193.12,193.12,193.12,100,2023-12-27 21:12:00
193.11,193.12,193.11,193.12,700,2023-12-27 21:13:00
193.1199,193.12,193.1199,193.12,617,2023-12-27 21:15:00
193.11,193.12,193.11,193.12,2782,2023-12-27 21:16:00
193.1103,193.12,193.11,193.11,1165,2023-12-27 21:17:00
193.08,193.08,193.08,193.08,200,2023-12-27 21:19:00
193.15,193.15,193.15,193.15,66282,2023-12-27 21:20:00
193.1,193.1,193.1,193.1,113,2023-12-27 21:22:00
193.09,193.11,193.09,193.1098,400,2023-12-27 21:23:00
193.11,193.11,193.11,193.11,300,2023-12-27 21:24:00
193.11,193.11,193.11,193.11,1300,2023-12-27 21:25:00
193.11,193.11,193.11,193.11,700,2023-12-27 21:26:00
193.11,193.11,193.11,193.11,100,2023-12-27 21:27:00
193.1,193.11,193.1,193.11,200,2023-12-27 21:29:00
193.1,193.1,193.1,193.1,661,2023-12-27 21:31:00
193.12,193.1699,193.12,193.1643,4185,2023-12-27 21:32:00
193.16,193.16,193.16,193.16,100,2023-12-27 21:33:00
193.15,193.15,193.15,193.15,400,2023-12-27 21:34:00
193.15,193.15,193.15,193.15,2230,2023-12-27 21:35:00
193.15,193.15,193.11,193.15,3179,2023-12-27 21:36:00
193.16,193.16,193.16,193.16,972,2023-12-27 21:37:00
193.15,193.15,193.15,193.15,1086,2023-12-27 21:38:00
193.11,193.11,193.11,193.11,100,2023-12-27 21:39:00
193.11,193.11,193.11,193.11,620,2023-12-27 21:40:00
193.11,193.15,193.11,193.15,802,2023-12-27 21:41:00
193.15,193.16,193.15,193.15,1342,2023-12-27 21:42:00
193.15,193.15,193.15,193.15,220,2023-12-27 21:43:00
193.16,193.16,193.16,193.16,100,2023-12-27 21:45:00
193.15,193.15,193.15,193.15,600,2023-12-27 21:46:00
193.15,193.16,193.15,193.16,2095,2023-12-27 21:47:00
193.16,193.16,193.16,193.16,111,2023-12-27 21:49:00
193.15,193.15,193.15,193.15,300,2023-12-27 21:50:00
193.14,193.15,193.14,193.15,1000,2023-12-27 21:52:00
193.1327,193.1327,193.1327,193.1327,150,2023-12-27 21:56:00
193.15,193.15,193.15,193.15,1367,2023-12-27 21:57:00
193.14,193.14,193.13,193.13,300,2023-12-27 21:59:00
193.11,193.11,193.1,193.1,400,2023-12-27 22:00:00
193.1,193.12,193.1,193.12,600,2023-12-27 22:02:00
193.09,193.09,193.09,193.09,100,2023-12-27 22:03:00
193.09,193.12,193.09,193.12,300,2023-12-27 22:04:00
193.1,193.1,193.1,193.1,347,2023-12-27 22:05:00
193.11,193.11,193.11,193.11,402,2023-12-27 22:06:00
193.11,193.11,193.11,193.11,300,2023-12-27 22:07:00
193.08,193.08,193.06,193.07,2243,2023-12-27 22:08:00
193.07,193.07,193.07,193.07,600,2023-12-27 22:09:00
193.07,193.08,193.07,193.08,400,2023-12-27 22:10:00
193.0501,193.11,193.0501,193.1,1601,2023-12-27 22:11:00
193.14,193.14,193.14,193.14,200,2023-12-27 22:12:00
193.15,193.18,193.15,193.18,3855,2023-12-27 22:13:00
193.18,193.18,193.17,193.17,355,2023-12-27 22:15:00
193.15,193.15,193.13,193.13,200,2023-12-27 22:16:00
193.11,193.11,193.11,193.11,100,2023-12-27 22:18:00
193.1,193.1,193.1,193.1,200,2023-12-27 22:19:00
193.13,193.13,193.13,193.13,300,2023-12-27 22:21:00
193.13,193.18,193.13,193.18,3209,2023-12-27 22:22:00
193.15,193.19,193.15,193.19,371,2023-12-27 22:23:00
193.15,193.15,193.15,193.15,100,2023-12-27 22:24:00
193.19,193.2,193.19,193.2,2223,2023-12-27 22:25:00
193.2,193.23,193.2,193.23,1391,2023-12-27 22:26:00
193.2,193.2,193.2,193.2,500,2023-12-27 22:27:00
193.2,193.2,193.2,193.2,550,2023-12-27 22:29:00
193.23,193.23,193.23,193.23,100,2023-12-27 22:30:00
193.22,193.22,193.22,193.22,100,2023-12-27 22:31:00
193.2,193.21,193.2,193.21,1087,2023-12-27 22:32:00
193.1899,193.1899,193.17,193.17,357,2023-12-27 22:33:00
193.22,193.22,193.22,193.22,100,2023-12-27 22:37:00
193.2192,193.2192,193.2192,193.2192,120,2023-12-27 22:40:00
193.21,193.21,193.21,193.21,100,2023-12-27 22:41:00
193.2199,193.22,193.2199,193.22,200,2023-12-27 22:42:00
193.17,193.17,193.17,193.17,100,2023-12-27 22:43:00
193.16,193.22,193.15,193.22,675,2023-12-27 22:44:00
193.18,193.18,193.18,193.18,150,2023-12-27 22:46:00
193.17,193.17,193.17,193.17,100,2023-12-27 22:49:00
193.11,193.11,193.11,193.11,191,2023-12-27 22:50:00
193.1,193.1,193.1,193.1,200,2023-12-27 22:52:00
193.12,193.12,193.12,193.12,300,2023-12-27 22:56:00
